player_id,W,L,SV,ERA,G,GS,IP,HA,R,ER,HR,BB,K,WHIP,OAVG,BABIP,BF,FIP,K/9,BB/9,HR/9
37231,6,5,40,2.48,56,0,54.3,45,15,15,6,25,77,1.29,0.216,0.312,233.0,3.18,12.8,4.1,1.0
37588,4,3,30,3.13,53,0,46.0,41,18,16,4,30,61,1.54,0.229,0.325,209.0,3.63,11.9,5.9,0.8
37637,2,4,0,4.08,28,0,46.3,37,25,21,6,15,60,1.12,0.21,0.282,191.0,3.26,11.7,2.9,1.2
37662,7,6,5,5.22,50,0,50.0,40,29,29,7,37,74,1.54,0.211,0.303,227.0,4.28,13.3,6.7,1.3
37836,19,8,0,3.86,33,33,212.3,226,95,91,34,48,236,1.29,0.262,0.324,911.0,3.74,10.0,2.0,1.4
37880,13,9,0,3.11,35,35,191.0,155,73,66,20,111,240,1.39,0.213,0.288,839.0,3.79,11.3,5.2,0.9
38291,3,3,6,3.36,60,0,56.3,52,23,21,2,24,73,1.35,0.235,0.342,245.0,2.35,11.7,3.8,0.3
38362,2,0,3,1.26,46,0,78.7,53,14,11,6,27,102,1.02,0.183,0.26,316.0,2.63,11.7,3.1,0.7
38492,13,9,0,4.56,32,32,183.7,203,106,93,19,70,148,1.49,0.269,0.313,824.0,4.08,7.3,3.4,0.9
38677,10,8,0,4.73,32,32,177.0,170,98,93,28,63,144,1.32,0.243,0.268,764.0,4.7,7.3,3.2,1.4
38909,11,7,0,4.16,33,33,190.3,184,98,88,24,66,142,1.31,0.244,0.272,821.0,4.39,6.7,3.1,1.1
39776,9,2,2,4.47,71,0,104.7,106,54,52,10,48,145,1.47,0.252,0.362,468.0,3.05,12.5,4.1,0.9
