player_id,G,AB,R,H,2B,3B,HR,RBI,TB,BB,K,SB,CS,AVG,OBP,SLG,OPS,1B,wOBA
33047,80,253,27,69,15,2,2,29,94,31,61,3,1,0.273,0.352,0.372,0.724,50,0.325
33058,31,98,7,18,2,0,3,9,29,6,31,1,1,0.184,0.231,0.296,0.527,13,0.2359
33059,151,571,81,152,41,6,12,83,241,67,139,5,2,0.266,0.343,0.422,0.765,93,0.3383
33061,153,604,69,163,32,2,9,68,226,42,105,3,1,0.27,0.317,0.374,0.691,120,0.307
33063,69,229,32,61,10,2,7,25,96,19,55,0,0,0.266,0.323,0.419,0.742,42,0.3268
33069,5,5,1,1,0,0,0,0,1,1,1,0,0,0.2,0.333,0.2,0.533,1,0.263
33139,153,659,143,183,31,4,35,115,327,77,152,16,3,0.278,0.353,0.496,0.849,113,0.3708
33149,29,83,12,16,3,0,1,12,22,11,31,2,0,0.193,0.287,0.265,0.552,12,0.257
33165,134,476,78,122,24,5,27,92,237,61,134,2,1,0.256,0.341,0.498,0.839,66,0.365
33178,11,39,4,9,2,1,0,4,13,4,8,1,0,0.231,0.302,0.333,0.635,6,0.2848
33303,153,595,85,155,28,2,33,101,286,26,191,4,0,0.261,0.291,0.481,0.772,92,0.3346
33313,149,622,90,131,33,2,21,80,231,49,175,5,1,0.211,0.268,0.371,0.639,75,0.2827
33320,76,277,36,87,15,2,6,34,124,22,47,4,1,0.314,0.365,0.448,0.813,64,0.3576
33333,11,29,2,9,2,0,1,6,14,3,8,0,0,0.31,0.375,0.483,0.858,6,0.3763
33343,66,187,28,42,6,0,9,25,75,24,52,0,0,0.225,0.313,0.401,0.714,27,0.3179
33359,34,116,16,31,9,0,0,13,40,7,18,0,0,0.267,0.309,0.345,0.654,22,0.2911
33378,6,20,3,9,2,0,0,7,11,2,4,0,0,0.45,0.5,0.55,1.05,7,0.4608
33494,19,63,5,9,0,1,0,3,11,2,24,0,0,0.143,0.169,0.175,0.344,8,0.1554
33512,155,608,92,139,27,6,25,90,253,60,218,10,1,0.229,0.298,0.416,0.714,81,0.3142
